project_short_name,case_barcode,sample_barcode,sample_type_name,CD274_counts,PDCD1LG2_counts,PDCD1_counts,HLA_A_counts,HLA_B_counts,HLA_C_counts,B2M_counts,GJA1_counts,GJB2_counts,GJA5_counts,GJB6_counts,ARNTL_counts,CLOCK_counts,PER1_counts,PER2_counts,CRY1_counts,CRY2_counts,MYC_counts,TP53_counts,CDH1_counts,VIM_counts
TCGA-LUAD,TCGA-38-4626,TCGA-38-4626-11A,Solid Tissue Normal,2016,464,112,84083,155176,150432,418137,15922,77,2977,10,583,1611,12733,4161,1839,6850,6131,2449,7620,93293
TCGA-LUAD,TCGA-38-4627,TCGA-38-4627-01A,Primary Tumor,371,723,107,134176,203730,156150,288495,38073,10317,2957,111,618,2331,4974,1015,1273,3053,2524,3732,27804,81206
TCGA-LUAD,TCGA-38-4627,TCGA-38-4627-11A,Solid Tissue Normal,1057,478,78,78477,125468,119546,372369,9058,53,6472,2,379,1134,7119,766,1495,2151,1908,1733,3158,53296
TCGA-LUAD,TCGA-38-4628,TCGA-38-4628-01A,Primary Tumor,281,291,29,105310,89969,112209,150892,4369,1795,3702,640,1164,3180,3249,781,1745,4247,1375,7886,23272,32115
TCGA-LUAD,TCGA-38-4629,TCGA-38-4629-01A,Primary Tumor,2662,1955,508,327096,351987,181663,501067,14464,4597,1166,16,699,5325,2884,763,968,1365,6342,1525,47687,85318
TCGA-LUAD,TCGA-38-4630,TCGA-38-4630-01A,Primary Tumor,395,399,150,61309,72155,119122,101183,18150,1254,534,57,372,2902,2420,1955,4950,3530,25187,11388,12447,17830
TCGA-LUAD,TCGA-38-4631,TCGA-38-4631-01A,Primary Tumor,75,116,42,23087,35546,53106,90217,1321,3819,201,348,447,794,1990,954,680,1433,1372,148,10749,3899
TCGA-LUAD,TCGA-38-4632,TCGA-38-4632-01A,Primary Tumor,610,213,380,55460,43269,47006,103867,1462,816,544,221,310,691,1560,203,590,511,3153,984,9234,16766
TCGA-LUAD,TCGA-38-4632,TCGA-38-4632-11A,Solid Tissue Normal,1339,1017,85,55155,94190,76447,314185,2877,36,888,4,769,886,3119,491,1010,1732,1122,1365,3908,22243
TCGA-LUAD,TCGA-38-6178,TCGA-38-6178-01A,Primary Tumor,114,79,124,37976,56678,51035,47802,1571,814,332,36,438,1564,6016,1780,565,2787,811,2593,15317,9457
TCGA-LUAD,TCGA-38-7271,TCGA-38-7271-01A,Primary Tumor,378,348,454,54475,89537,74554,153574,2938,518,740,83,345,1048,6221,1093,528,1778,3483,2472,7042,17297
TCGA-LUAD,TCGA-38-A44F,TCGA-38-A44F-01A,Primary Tumor,413,195,165,113999,152418,117219,298994,2154,1565,724,48,422,1127,4319,1329,859,2479,1564,2151,14401,34264
TCGA-LUAD,TCGA-44-2655,TCGA-44-2655-01A,Primary Tumor,370,278,145,136161,211054,239139,386847,7884,213,2463,3,912,3150,11214,3206,1444,6652,2677,10894,26709,28354
TCGA-LUAD,TCGA-44-2655,TCGA-44-2655-11A,Solid Tissue Normal,1892,1003,57,94609,174551,174817,319255,15400,24,8780,3,400,2364,18079,3189,1650,9525,5250,3982,11757,66386
TCGA-LUAD,TCGA-44-2656,TCGA-44-2656-01A,Primary Tumor,4456,1494,655,128917,254724,154263,582645,3869,1073,1766,41,1170,5999,13114,1435,894,3513,12718,2263,34992,27716
TCGA-LUAD,TCGA-44-2656,TCGA-44-2656-01B,Primary Tumor,1595,420,38,8927,16212,5256,68906,960,91,212,3,670,5495,1244,624,276,650,813,297,4714,5224
TCGA-LUAD,TCGA-44-2657,TCGA-44-2657-11A,Solid Tissue Normal,644,603,816,67154,131284,109006,219013,5437,67,3522,3,875,1063,2721,779,1021,3159,2847,2995,6742,26807
TCGA-LUAD,TCGA-44-2657,TCGA-44-2657-01A,Primary Tumor,319,503,628,66740,147130,106090,181101,2249,363,704,48,606,1252,1577,949,791,2402,934,1253,11141,13458
TCGA-LUAD,TCGA-44-2659,TCGA-44-2659-01A,Primary Tumor,580,375,280,189545,235374,150143,226691,4140,546,2968,136,1215,3944,4018,2524,1105,6839,2197,3169,25388,45903
TCGA-LUAD,TCGA-44-2661,TCGA-44-2661-01A,Primary Tumor,680,905,265,108611,176980,122588,401213,3820,572,1740,390,1445,1424,895,628,1144,2065,1278,2608,7806,25293
TCGA-LUAD,TCGA-44-2661,TCGA-44-2661-11A,Solid Tissue Normal,944,753,51,77011,142682,92358,239959,12456,175,5794,14,1374,1803,2888,1071,1541,4218,1845,2908,10619,54707
TCGA-LUAD,TCGA-44-2662,TCGA-44-2662-11A,Solid Tissue Normal,1961,655,97,60805,146657,86547,236078,16753,33,4609,3,942,1531,26359,3456,1525,6947,7998,1715,9497,47336
TCGA-LUAD,TCGA-44-2662,TCGA-44-2662-01A,Primary Tumor,3381,815,121,40902,76457,40017,153421,16305,2719,1039,9,961,3983,5000,1256,1668,1102,4900,3930,69391,40402
TCGA-LUAD,TCGA-44-2662,TCGA-44-2662-01B,Primary Tumor,1011,317,6,1907,4967,1465,23224,3671,371,95,2,800,5227,719,561,671,345,715,339,6573,9604
TCGA-LUAD,TCGA-44-2665,TCGA-44-2665-01B,Primary Tumor,322,109,6,3679,7259,2808,20495,2624,1476,83,20,337,1720,155,249,167,157,150,347,3502,6079
TCGA-LUAD,TCGA-44-2665,TCGA-44-2665-11A,Solid Tissue Normal,591,714,89,84234,158569,121676,248040,22631,68,1962,1,2201,2317,23563,1943,2666,7557,5127,3261,12368,63851
TCGA-LUAD,TCGA-44-2665,TCGA-44-2665-01A,Primary Tumor,1190,1025,94,108319,157920,110612,297127,22681,14378,1570,362,1723,3687,2881,1357,1106,2053,3375,4253,24705,80860
TCGA-LUAD,TCGA-44-2666,TCGA-44-2666-01A,Primary Tumor,1071,115,66,57874,94227,76980,186937,4716,340,518,5,829,3062,7211,1926,1169,2968,11111,6532,18071,9780
TCGA-LUAD,TCGA-44-2666,TCGA-44-2666-01B,Primary Tumor,452,138,16,5714,11886,6363,30735,1296,94,137,2,612,4532,2303,1158,508,1348,1635,1003,4501,4489
TCGA-LUAD,TCGA-44-2668,TCGA-44-2668-01A,Primary Tumor,2882,1285,521,274652,401506,190047,343082,6465,12511,1157,59,1175,3818,9603,2150,1928,2114,4171,1462,56296,47656
TCGA-LUAD,TCGA-44-2668,TCGA-44-2668-01B,Primary Tumor,1257,384,125,21128,41264,15232,67528,2089,1094,126,2,1160,4157,2615,933,702,862,1200,391,12294,8582
TCGA-LUAD,TCGA-44-2668,TCGA-44-2668-11A,Solid Tissue Normal,2967,363,216,84535,167392,103326,222013,18043,117,1598,4,2154,2033,9802,1667,2953,3887,6493,2381,12653,71401
TCGA-LUAD,TCGA-44-3396,TCGA-44-3396-01A,Primary Tumor,3522,981,641,128502,217867,203345,416619,12954,31505,2861,343,1700,3289,14422,2786,2753,3296,3541,8033,57767,46533
TCGA-LUAD,TCGA-44-3396,TCGA-44-3396-11A,Solid Tissue Normal,1972,879,383,91763,197550,200491,435174,18867,125,4285,12,2012,2935,28765,4023,3190,8780,5628,2969,14022,71420
TCGA-LUAD,TCGA-44-3398,TCGA-44-3398-11B,Solid Tissue Normal,1241,851,114,83322,172670,134502,347669,15492,88,1833,2,1431,2676,11011,1764,2032,5268,4758,3025,10261,61009
TCGA-LUAD,TCGA-44-3398,TCGA-44-3398-01A,Primary Tumor,1621,600,87,136367,144304,133255,487044,29633,8098,3082,131,1347,2288,1790,1039,1776,1505,1919,3001,11272,43012
TCGA-LUAD,TCGA-44-3917,TCGA-44-3917-01B,Primary Tumor,414,305,34,2972,7380,2385,31999,3850,22,251,0,555,6671,640,1298,1052,671,1429,763,5288,2249
TCGA-LUAD,TCGA-44-3917,TCGA-44-3917-01A,Primary Tumor,237,359,68,13229,19074,7789,93174,6370,60,724,6,517,2597,528,793,1298,713,2801,1019,6319,2694
TCGA-LUAD,TCGA-44-3918,TCGA-44-3918-01B,Primary Tumor,2558,668,83,8718,17451,7798,51563,2376,140,281,6,1183,6454,339,599,814,502,643,522,4702,7504
TCGA-LUAD,TCGA-44-3918,TCGA-44-3918-01A,Primary Tumor,5297,1375,738,115325,205337,171523,427614,9213,2034,2892,7,2148,5278,737,752,2397,1258,3558,2321,13768,29775
TCGA-LUAD,TCGA-44-3919,TCGA-44-3919-01A,Primary Tumor,1589,715,345,198822,253359,155327,281485,13338,1366,1299,178,1128,3057,2456,2429,2049,3116,3198,2461,23738,31678
TCGA-LUAD,TCGA-44-4112,TCGA-44-4112-01A,Primary Tumor,504,230,58,31938,62176,87162,180419,16209,1350,1961,4,1154,3653,4697,1675,1594,1833,5417,7298,16609,28289
TCGA-LUAD,TCGA-44-4112,TCGA-44-4112-01B,Primary Tumor,452,440,28,2927,8389,4821,33873,4169,269,408,2,809,7174,1653,1272,784,927,1427,1082,4892,8887
TCGA-LUAD,TCGA-44-5643,TCGA-44-5643-01A,Primary Tumor,160,89,150,12956,24483,15237,66819,9851,1174,128,1775,987,938,2566,3740,178,1310,10949,3612,15740,4009
TCGA-LUAD,TCGA-44-5644,TCGA-44-5644-01A,Primary Tumor,58,27,39,22281,11803,25629,34979,1168,43,178,2,461,1067,6973,3590,3588,1961,2471,2626,13947,2798
